entity_id,state,last_changed
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A2 02 3B 5C 01 0C 08 0D 04,2025-12-08T13:11:03.417Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A1 02 35 5E 01 0C 08 0D 04,2025-12-08T13:11:08.435Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A2 02 33 5F 01 0C 08 0D 04,2025-12-08T13:11:13.422Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A1 02 32 5B 01 0C 08 0D 04,2025-12-08T13:11:18.431Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A1 02 30 5C 01 0C 08 0D 04,2025-12-08T13:11:23.439Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A1 02 2B 5E 01 0C 08 0D 05,2025-12-08T13:11:28.468Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A1 02 2C 5A 01 0C 08 0D 05,2025-12-08T13:11:33.475Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A1 02 29 5B 01 0C 08 0D 05,2025-12-08T13:11:38.430Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A1 02 28 54 01 0C 08 0D 05,2025-12-08T13:11:43.435Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A0 02 26 5B 01 0C 08 0D 05,2025-12-08T13:11:48.438Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A0 02 26 58 01 0C 08 0D 05,2025-12-08T13:11:53.444Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 A0 02 26 5B 01 0C 08 0D 05,2025-12-08T13:11:58.461Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 9E 02 25 5B 01 0C 08 0D 05,2025-12-08T13:12:03.478Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 9C 02 25 5A 01 0C 08 0D 05,2025-12-08T13:12:13.456Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 9C 02 24 5C 01 0C 08 0D 05,2025-12-08T13:12:18.455Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 9B 02 24 5B 01 0C 08 0D 05,2025-12-08T13:12:23.458Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 9B 02 24 5B 01 0C 08 0D 06,2025-12-08T13:12:28.475Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 99 02 24 5A 01 0C 08 0D 06,2025-12-08T13:12:33.482Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 98 02 24 58 01 0C 08 0D 06,2025-12-08T13:12:38.499Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 96 02 24 57 01 0C 08 0D 06,2025-12-08T13:12:43.465Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 95 02 24 5B 01 0C 08 0D 06,2025-12-08T13:12:48.471Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 95 02 24 5C 01 0C 08 0D 06,2025-12-08T13:12:53.469Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 94 02 24 5A 01 0C 08 0D 06,2025-12-08T13:12:58.486Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 93 02 24 59 01 0C 08 0D 06,2025-12-08T13:13:03.486Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 92 02 24 5B 01 0C 08 0D 06,2025-12-08T13:13:09.848Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 91 02 24 59 01 0C 08 0D 06,2025-12-08T13:13:13.773Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 8F 02 24 5D 01 0C 08 0D 06,2025-12-08T13:13:18.480Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 8E 02 24 59 01 0C 08 0D 07,2025-12-08T13:13:23.496Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 8E 02 24 54 01 0C 08 0D 07,2025-12-08T13:13:28.486Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 8C 02 24 5C 01 0C 08 0D 07,2025-12-08T13:13:33.517Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 8C 02 24 58 01 0C 08 0D 07,2025-12-08T13:13:38.520Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 8B 02 24 5B 01 0C 08 0D 07,2025-12-08T13:13:43.538Z
sensor.cozytime_bridge_cozytime_raw_packet,CE CD 6C CE 00 8A 02 24 57 01 0C 08 0D 07,2025-12-08T13:13:48.492Z
